"ST_CASE","PERSONS","FATALS","ROUTE","MAN_COLL","LGT_COND","WEATHERlight","BODY_TYP","AGE","INJ_SEV","DRINKING","TRAV_SP","L_TYPE","VSPD_LIM","fata_rate"
121056,2,1,"highway","front","light","light","small",85,"injured","NO",65,"Licensed",45,50.00
121063,2,1,"LOCAL","front","light","light","LORRY",33,"dead","NO",70,"Licensed",70,50.00
121078,3,1,"highway","front","light","light","small",59,"dead","NO",45,"Licensed",45,33.33
121086,2,1,"LOCAL","front","light","light","small",36,"dead","NO",55,"Licensed",55,50.00
121089,2,1,"highway","front","light","light","small",23,"injured","NO",55,"Licensed",55,50.00
121090,10,1,"LOCAL","side","light","light","small",19,"injured","NO",76,"Licensed",70,10.00
121095,12,1,"highway","front","light","light","LORRY",43,"injured","NO",45,"Licensed",50,8.33
121096,3,1,"LOCAL","front","dark","light","small",52,"injured","NO",10,"Licensed",70,33.33
121106,3,1,"LOCAL","front","light","light","small",65,"injured","NO",15,"Licensed",35,33.33
121108,3,1,"LOCAL","front","light","light","small",36,"injured","NO",60,"Licensed",55,33.33
121109,6,2,"LOCAL","front","light","light","small",33,"dead","NO",55,"Licensed",55,33.33
121119,2,1,"LOCAL","front","dark","light","small",20,"injured","Yes",55,"Licensed",55,50.00
121124,3,2,"LOCAL","front","dark","light","small",73,"dead","Yes",55,"Licensed",55,66.67
121125,2,1,"LOCAL","front","dark","light","small",49,"injured","NO",15,"Licensed",45,50.00
121127,3,1,"LOCAL","front","light","light","small",23,"injured","NO",55,"Licensed",55,33.33
121137,2,1,"LOCAL","front","dark","light","small",21,"injured","NO",55,"Licensed",55,50.00
121146,5,1,"highway","side","dark","light","small",94,"injured","NO",45,"Licensed",45,20.00
121151,7,1,"LOCAL","front","light","light","small",22,"injured","NO",45,"Licensed",60,14.29
121163,3,1,"LOCAL","front","dark","light","LORRY",43,"injured","NO",55,"Licensed",55,33.33
121164,6,1,"LOCAL","front","light","light","small",22,"injured","NO",55,"Licensed",55,16.67
121165,2,1,"LOCAL","side","light","light","small",71,"injured","NO",15,"Licensed",50,50.00
121174,2,1,"LOCAL","front","dark","mod","small",34,"injured","Yes",45,"Licensed",65,50.00
121185,3,1,"LOCAL","front","dark","light","LORRY",27,"dead","NO",65,"Licensed",65,33.33
121186,2,1,"LOCAL","front","dark","mod","small",26,"dead","Yes",60,"Licensed",70,50.00
121192,5,1,"LOCAL","front","light","light","small",85,"dead","NO",25,"Licensed",25,20.00
